symbol,tp_atr,sl_atr,conf_floor,trades,win_rate,profit_factor,expectancy_atr,total_return_percent
BCHUSDT,1.5,1.0,0.4,1874,0.4104,0.6291376233212136,-0.3388,-556.18
BCHUSDT,1.5,1.0,0.44,674,0.4303,0.5549117822395794,-0.4707,-266.53
BCHUSDT,1.5,1.0,0.48,254,0.4252,0.3656385543988636,-0.7494,-189.62
BCHUSDT,1.5,1.0,0.52,104,0.3846,0.13380198190494005,-2.5077,-211.5
BCHUSDT,1.5,1.0,0.56,36,0.3333,0.14556002349287164,-1.5065,-57.27
BCHUSDT,2.0,1.0,0.36,829,0.3908,0.6527860510370713,-0.3584,-266.33
BCHUSDT,2.0,1.0,0.4,278,0.3525,0.37907640828996747,-0.8363,-230.02
BCHUSDT,2.0,1.0,0.44,113,0.3894,0.21867597614562628,-2.0371,-199.95
BCHUSDT,2.0,1.0,0.48,46,0.413,0.25242903778326425,-1.4923,-57.46
BCHUSDT,2.0,1.0,0.52,14,0.4286,0.1483082736274014,-3.1914,-38.99
BCHUSDT,2.0,1.0,0.56,4,0.25,0.5260205667395292,-0.0738,-0.56
BCHUSDT,2.0,1.5,0.36,1230,0.4114,0.6620762372637697,-0.4034,-439.74
BCHUSDT,2.0,1.5,0.4,1150,0.4061,0.6141732298286657,-0.4587,-486.09
BCHUSDT,2.0,1.5,0.44,705,0.4468,0.691238402842595,-0.3657,-225.45
BCHUSDT,2.0,1.5,0.48,257,0.4553,0.5283827179376942,-0.7112,-156.91
BCHUSDT,2.0,1.5,0.52,105,0.4571,0.32221321953157966,-1.1979,-131.99
BCHUSDT,2.0,1.5,0.56,40,0.55,0.3677686596928473,-1.3019,-44.96
BCHUSDT,2.5,1.0,0.36,732,0.3511,0.6911437179507991,-0.3484,-226.96
BCHUSDT,2.5,1.0,0.4,259,0.3282,0.43257358914150984,-0.929,-216.46
BCHUSDT,2.5,1.0,0.44,106,0.3868,0.27011711410988104,-2.0736,-185.74
BCHUSDT,2.5,1.0,0.48,43,0.3488,0.2641005187448179,-1.6571,-57.54
BCHUSDT,2.5,1.0,0.52,14,0.3571,0.16766207951522405,-3.2328,-38.95
BCHUSDT,2.5,1.0,0.56,4,0.25,0.714877485789722,0.0511,-0.34
BCHUSDT,3.0,1.0,0.36,51,0.3137,0.24169203685418736,-2.9253,-113.13
BCHUSDT,3.0,1.0,0.4,18,0.3333,0.2190625189818757,-4.122,-49.36
BCHUSDT,3.0,1.0,0.44,4,0.25,0.13352131551856752,-4.7202,-16.57
BCHUSDT,3.0,1.0,0.48,2,0.0,0.0,-0.5997,-1.09
BCHUSDT,3.0,1.0,0.52,0,0.0,,0.0,0.0
BCHUSDT,3.0,1.5,0.36,268,0.4142,0.632295370980153,-0.642,-144.15
BCHUSDT,3.0,1.5,0.4,111,0.4234,0.3545213310130414,-2.0744,-171.11
BCHUSDT,3.0,1.5,0.44,51,0.4118,0.32336060900053226,-2.4162,-89.36
BCHUSDT,3.0,1.5,0.48,18,0.3889,0.2169927586397071,-4.6871,-57.35
BCHUSDT,3.0,1.5,0.52,4,0.5,0.22994281377925507,-4.1381,-14.46
BCHUSDT,3.0,1.5,0.56,1,0.0,0.0,-1.0383,-0.73
BCHUSDT,4.0,1.5,0.36,43,0.3721,0.23472614598971922,-4.2761,-137.58
BCHUSDT,4.0,1.5,0.4,10,0.4,0.1369226135598085,-6.5173,-48.44
BCHUSDT,4.0,1.5,0.44,4,0.0,0.0,-8.1145,-26.54
BCHUSDT,4.0,1.5,0.48,1,0.0,0.0,-0.522,-0.37
BCHUSDT,4.0,1.5,0.52,0,0.0,,0.0,0.0
BNBUSDT,1.5,1.0,0.36,2113,0.408,0.5170896908576658,-0.4703,-635.45
BNBUSDT,1.5,1.0,0.4,1974,0.4129,0.5306890284286714,-0.4651,-568.93
BNBUSDT,1.5,1.0,0.44,1017,0.4297,0.4859047674427408,-0.5503,-319.71
BNBUSDT,1.5,1.0,0.48,516,0.4477,0.3660720266469886,-0.7522,-231.62
BNBUSDT,1.5,1.0,0.52,239,0.4644,0.3492724385697778,-0.8784,-114.39
BNBUSDT,1.5,1.0,0.56,112,0.4464,0.2670308498086671,-1.215,-73.31
BNBUSDT,2.0,1.0,0.36,1071,0.38,0.5361723408785863,-0.4995,-342.15
BNBUSDT,2.0,1.0,0.4,499,0.4088,0.5076415257850521,-0.5816,-176.32
BNBUSDT,2.0,1.0,0.44,261,0.433,0.4424924476414316,-0.7557,-107.61
BNBUSDT,2.0,1.0,0.48,116,0.4828,0.49286601523524665,-0.8189,-47.69
BNBUSDT,2.0,1.0,0.52,53,0.5849,0.9681435876841517,-0.4693,-0.84
BNBUSDT,2.0,1.0,0.56,21,0.5714,0.25247703986749864,-4.7257,-29.59
BNBUSDT,2.0,1.5,0.36,1259,0.4464,0.6662194804155275,-0.4177,-319.13
BNBUSDT,2.0,1.5,0.4,1203,0.4489,0.6329243146260507,-0.4301,-334.61
BNBUSDT,2.0,1.5,0.44,901,0.455,0.5912220653263617,-0.4826,-279.51
BNBUSDT,2.0,1.5,0.48,458,0.4913,0.5990731951936489,-0.5228,-140.61
BNBUSDT,2.0,1.5,0.52,225,0.5067,0.4492111755697372,-0.8476,-106.35
BNBUSDT,2.0,1.5,0.56,106,0.5377,0.5189798135177934,-0.6149,-40.07
BNBUSDT,2.5,1.0,0.36,948,0.3502,0.5874742248892544,-0.4517,-292.41
BNBUSDT,2.5,1.0,0.4,456,0.3794,0.5434942629299434,-0.5821,-162.27
BNBUSDT,2.5,1.0,0.44,233,0.4206,0.4776803977645299,-0.8008,-104.88
BNBUSDT,2.5,1.0,0.48,103,0.4563,0.5382382341707643,-0.7864,-42.24
BNBUSDT,2.5,1.0,0.52,46,0.5652,0.9240972142876233,-0.528,-2.33
BNBUSDT,2.5,1.0,0.56,18,0.5,0.23229780904968614,-5.8929,-33.99
BNBUSDT,3.0,1.0,0.36,103,0.4272,0.572338945853831,-0.915,-38.7
BNBUSDT,3.0,1.0,0.4,44,0.5682,1.0473367748391689,0.0369,1.21
BNBUSDT,3.0,1.0,0.44,20,0.5,1.0241487546788688,-0.5729,0.38
BNBUSDT,3.0,1.0,0.48,11,0.6364,0.3255544478760812,-4.8438,-24.49
BNBUSDT,3.0,1.0,0.52,3,0.3333,0.536172215409072,-0.5757,-0.53
BNBUSDT,3.0,1.0,0.56,1,0.0,0.0,-1.4517,-0.42
BNBUSDT,3.0,1.5,0.36,345,0.4812,0.8521956747393074,-0.1784,-39.72
BNBUSDT,3.0,1.5,0.4,187,0.508,0.7327479503789436,-0.3273,-42.98
BNBUSDT,3.0,1.5,0.44,93,0.4624,0.537297709986703,-1.0931,-45.99
